YEAR,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Real GDP growth (Annual percent change),7.9,5.1,9,10.8,15.2,13.5,8.9,11.7,11.2,4.2,3.9,9,14.3,13.9,13,11,9.9,9.2,7.9,7.7,8.5,8.3,9.1,10,10.1,11.4,12.7,14.2,9.6,9.4,10.6,9.6,7.8,7.8,7.4,7,6.9,6.9,6.8,6,2.2,8.4,3,5,4.2,4.1,4.1,3.7,3.4
"GDP, current prices (Billions of U.S. dollars)",303.004,288.699,284.601,305.428,314.23,310.133,300.92,327.728,408.663,458.18,396.59,413.209,492.148,617.433,561.686,730.996,860.468,957.991,1024.167,1088.346,1205.532,1333.649,1465.829,1656.962,1949.446,2290.019,2754.149,3555.655,4577.28,5088.992,6033.83,7492.212,8539.584,9624.928,10524.241,11113.508,11226.897,12265.327,13841.812,14340.6,14862.564,17759.307,17886.331,17700.899,18560.013,19781.703,21059.834,22291.053,23608.859
"GDP per capita, current prices
 (U.S. dollars per capita)",306.98,288.491,279.971,296.509,301.111,292.99,279.908,299.842,368.079,406.534,346.873,356.759,420.025,520.966,468.658,603.526,703.06,774.91,820.903,865.236,951.163,1044.958,1141.14,1282.21,1499.712,1751.368,2095.239,2691.048,3446.695,3813.408,4499.803,5553.242,6282.709,7039.574,7645.875,8034.287,8063.446,8760.259,9848.949,10170.061,10525.001,12572.071,12669.617,12541.403,13155.889,14031.401,14951.6,15843.618,16802.947
"GDP, current prices (Purchasing power parity; billions of international dollars)",302.76,348.305,403.112,464.138,553.986,648.661,720.616,824.837,949.562,1028.244,1108.201,1248.742,1459.551,1701.521,1964.285,2225.45,2491.03,2768.307,3019.394,3297.109,3657.469,4050.989,4489.109,5036.463,5694.74,6542.261,7601.315,8918.947,9961.922,10972.761,12282.959,13735.671,15137.455,16277.355,17200.686,17880.337,18701.703,19814.058,21660.211,23360.814,24196.274,27419.465,30217.113,32897.929,35042.689,37220.761,39487.605,41682.466,43889.882
"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",306.733,348.055,396.553,450.585,530.856,612.806,670.296,754.654,855.261,912.341,969.275,1078.147,1245.659,1435.677,1638.953,1837.378,2035.339,2239.259,2420.143,2621.205,2885.737,3174.085,3494.749,3897.377,4380.974,5003.411,5782.755,6750.182,7501.334,8222.376,9160.167,10180.906,11136.869,11905.091,12496.321,12926.23,13432.044,14151.786,15412.023,16567.014,17134.715,19410.636,21404.011,23308.77,24839.3,26401.135,28034.546,29626.283,31237.399
"GDP based on PPP, share of world (Percent of World)",2.259,2.324,2.524,2.732,3.014,3.303,3.478,3.744,3.983,4.004,3.999,4.255,4.378,4.891,5.371,5.751,6.088,6.392,6.709,6.984,7.229,7.646,8.115,8.581,8.977,9.547,10.221,11.079,11.792,12.961,13.61,14.34,15.008,15.385,15.674,15.964,16.079,16.178,16.677,17.199,18.131,18.505,18.443,18.821,19.05,19.225,19.392,19.496,19.56
Implied PPP conversion rate (National currency per international dollar),1.5,1.413,1.336,1.3,1.316,1.404,1.442,1.479,1.602,1.678,1.712,1.762,1.859,2.091,2.465,2.743,2.872,2.869,2.808,2.733,2.729,2.725,2.703,2.723,2.833,2.868,2.889,3.033,3.193,3.168,3.326,3.524,3.561,3.664,3.759,3.871,3.989,4.184,4.228,4.241,4.239,4.177,3.988,3.809,3.791,3.782,3.785,3.796,3.809
"Inflation rate, average consumer prices (Annual percent change)",,2.5,2,2,2.7,9.3,6.5,7.3,18.8,18,3.1,3.4,6.4,14.8,24.3,16.8,8.3,2.8,-0.8,-1.4,0.4,0.7,-0.7,1.1,3.8,1.8,1.6,4.8,5.9,-0.7,3.2,5.5,2.6,2.6,2.1,1.5,2.1,1.5,1.9,2.9,2.5,0.9,1.9,0.7,1.7,2.2,2.2,2.2,2.2
"Inflation rate, end of period consumer prices (Annual percent change)",,,,,,11.2,6.6,8.9,27.9,6.6,4.3,4.5,8.8,18.8,25.5,10.1,7,0.4,-1,-1,1.9,-0.5,-0.4,3.3,2.4,1.7,2.9,6.6,1.2,1.6,4.5,4.1,2.4,2.6,1.5,1.7,2.1,1.7,1.8,4.5,0.2,1.4,1.8,0.9,1.9,2.2,2.2,2.2,2.2
Population (Millions of people),987.05,1000.72,1016.54,1030.08,1043.57,1058.51,1075.07,1093,1110.26,1127.04,1143.33,1158.23,1171.71,1185.17,1198.5,1211.21,1223.89,1236.26,1247.61,1257.86,1267.43,1276.27,1284.53,1292.27,1299.88,1307.56,1314.48,1321.29,1328.02,1334.5,1340.91,1349.16,1359.22,1367.26,1376.46,1383.26,1392.32,1400.11,1405.41,1410.08,1412.12,1412.6,1411.75,1411.397,1410.776,1409.817,1408.534,1406.942,1405.043
